Identifier,Edition Statement,Place of Publication,Date of Publication,Publisher,Title,Author,Contributors,Corporate Author,Corporate Contributors,Former owner,Engraver,Issuance type,Flickr URL,Shelfmarks
000378708,,Leipzig,1845,,[Das Königreich Norwegen. Statistisch beschrieben ... Mit einem Vorwort von Carl Ritter ... Mit zwei colorirten Karten.],"BLOM, Gustav Peter.","RITTER, Carl - Geographer",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000378708,British Library HMNTS 10280.d.13.
000379543,,London,1852,Richard Bentley,Blondelle. A story of the day. [By Sir Henry Drummond Wolff.],,"WOLFF, Henry Drummond - Right Hon. Sir, G.C.B",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000379543,British Library HMNTS 12626.b.12.
000380255,,enk,[1883],London,The works of Robert Bloomfield. A complete edition,"Bloomfield, Robert","Foster, Myles Birket",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000380255,British Library HMNTS 11609.f.8.|British Library HMNTS Bloomfield 237.
000380279,,enk,1802,London,"Rural tales, ballads, and songs","BLOOMFIELD, Robert - Poet","LOFFT, Capel - the Elder|NESBIT, Charlton.|THURSTON, John - Artist",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000380279,British Library HMNTS 11642.h.22.|British Library HMNTS Bloomfield 80.|British Library HMNTS Bloomfield 5.(2.).|British Library HMNTS Bloomfield 81.|British Library HMNTS Bloomfield 82.|British Library HMNTS Bloomfield 3.(2.)
000381198,,"2 vol. W. Blackwood & Sons: Edinburgh, 1888",,,Lady Bluebeard. By the author of 'Zit and Xoe' [i.e. Henry Curwen],,"CURWEN, Henry - Editor of “The Times of India.”",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000381198,British Library HMNTS 012633.e.25.
000382895,,London,1879,John Murray,"Bedouin Tribes of the Euphrates ... Edited, with a preface and some account of the Arabs and their horses, by W. S. B. [i.e. W. S. Blunt] ... With map and sketches by the author","BLUNT, Anne Isabella Noel - Baroness Wentworth","B., W. S.|Blunt, Wilfrid Scawen",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000382895,British Library HMNTS 10077.cc.1.
000382898,,Paris,1882,,"Voyage en Arabie. Pèlerinage au Nedjed, berceau de la race arabe. Ouvrage traduit ... avec l'autorisation de l'auteur par L. Derome. Contenant 1 carte et 60 gravures ... dessinées par G. Vuillier d'après les aquarelles de Lady Anne Blunt","BLUNT, Anne Isabella Noel - Baroness Wentworth","DEROME, Léopold.|VUILLIER, Gaston.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000382898,British Library HMNTS 10077.i.10.
000382941,"Fourteenth edition, improved, by E. & G. W. Blunt. [With appendices.]",New York,1842-45,E. & G. W. Blunt,"[The American Coast Pilot ... from Passamaquoddy, through the Gulf of Florida ... together with the courses and distances from Cape Cod and Cape Ann ... to George's Bank ... Corrected and improved ... Ninth edition.]","BLUNT, Edmund March.","BLUNT, Edmund.|BLUNT, George William.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000382941,British Library HMNTS 1303.l.1.
000382942,"Sixteenth edition, by E. and G. W. Blunt. [With appendices.]",New-York,1850,E. & G. W. Blunt,"[The American Coast Pilot ... from Passamaquoddy, through the Gulf of Florida ... together with the courses and distances from Cape Cod and Cape Ann ... to George's Bank ... Corrected and improved ... Ninth edition.]","BLUNT, Edmund March.","BLUNT, Edmund.|BLUNT, George William.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000382942,British Library HMNTS 10497.ee.1.
000382943,"Twenty-first edition, by Geo. W. Blunt.",New York,1867,G. W. Blunt,"[The American Coast Pilot ... from Passamaquoddy, through the Gulf of Florida ... together with the courses and distances from Cape Cod and Cape Ann ... to George's Bank ... Corrected and improved ... Ninth edition.]","BLUNT, Edmund March.","BLUNT, George William.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000382943,British Library HMNTS 10497.ee.2.
000383283,,London,1898,William Heinemann,The Poetry of Wilfrid Blunt. Selected and arranged by W. E. Henley and George Wyndham,"Blunt, Wilfrid Scawen","Egremont, George O'Brien Wyndham - Earl of",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000383283,British Library HMNTS 11611.c.33.
000383325,,Zürich,1847-57,,Geschichte der Republik Zürich,"BLUNTSCHLI, Johann Caspar.","HOTTINGER, Johann Jacob - 3rd of the name",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000383325,British Library HMNTS 9305.c.7.
000384637,,London,1796,Martin & Bain,"A Letter to George Steevens, Esq., containing a critical examination of the papers of Shakspeare; published by Mr. Samuel Ireland. To which are added, extracts from Vortigern [by S. W. H. Ireland]","Boaden, James","IRELAND, Samuel William Henry.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000384637,British Library HMNTS 642.d.12.(2.)|British Library HMNTS 1344.e.15.|British Library HMNTS 82.e.9.
000385949,,London,1864,Published for the Author,"The Giant's Causeway once Bamboos; Captain Morton's essays, renewed by Ben Bobstay. [With illustrations.]","BOBSTAY, Ben - pseud","MORTON, Charles - Captain, R.N",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000385949,British Library HMNTS 7107.aaa.11.
000386000,,Mexico,"1892, 97",,"Memorias para la Historia de México Independiente, 1822-1846 ... Edición oficial dirigada por J. M. Vigil","BOCANEGRA, José María de.","VIGIL, José María.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000386000,British Library HMNTS 9772.p.8.
000386414,,London,1847,Longman & Co.,Frederic and the Falcon. Done into English verse ... By Emma Martin. [The ninth tale of the fifth day.]: Single Works. Decamerone. English. Single Tales,"Boccaccio, Giovanni","MARTIN, Emma.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000386414,British Library HMNTS 11647.g.34.|British Library HMNTS 011653.o.51.
000386417,,Bristol,1798,Biggs & Cottle,Patient Griselda. A tale. From the Italian of Bocaccio By Miss Sotheby. [The tenth tale of the tenth day In verse.]: Single Works. Decamerone. English. Single Tales,"Boccaccio, Giovanni","SOTHEBY, Eliza - Miss",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000386417,British Library HMNTS 643.k.4.(15.)|British Library HMNTS 11632.c.5.
000387885,,London,"1885, [1884]",Kegan Paul & Co.,To Kairwân the Holy: scenes in Muhammedan Africa ... Illustrated by A. F. Jacassey,"Boddy, Alexander A.","JACASSEY, A. F.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000387885,British Library HMNTS 10097.b.4.
000388115,,Göttingen,1861,,"Geschichte des Bundes der Sachsenstädte bis zum Ende des Mittelalters mit Rücksicht auf die Territorien zwischen Weser und Elbe. ... Besonderer Abdruck aus den Forschungen zur deutschen Geschichte, etc. [The editor's preface signed: G. W., i.e. Georg Waitz.]","BODE, Wilhelm Julius Ludwig.","Waitz, Georg",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000388115,British Library HMNTS 9365.e.4.
000388490,,Leipzig,1862,,Russische Fragmente. Beiträge zur Kenntniss des Staats- und Volkslebens in seiner historischen Entwickelung. Eingeleitet und herausgegeben von F. Bodenstedt,"BODENSTEDT, Friedrich Martin von.","BEZSONOV, Petr Aleksyeevich.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000388490,British Library HMNTS 9455.bb.21.
000388944,,London,1896,Chapman & Hall,Lord Edward Fitzgerald. An historical romance ... With illustrations by L. Linsdell,"BODKIN, Matthias MacDonnell.","LINSDELL, Leonard.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000388944,British Library HMNTS 012627.l.37.
000389137,,Bodmin,1827-38,Liddell & Son,"The Bodmin Register; containing collections relative to the past and present state of the parish of Bodmin, etc. [By John Wallis.]",,"WALLIS, John - Vicar of Bodmin",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000389137,British Library HMNTS 010360.b.76.|British Library HMNTS 10368.ccc.21.(1.)
